Pair,Field,vegtype,date,DOY,Year,clouds,temp,SamplingArea,censto,berinc,hypper,achmil,eristr,vicvil,diaarm,monfis,leuvul,soljun,solcan,solnem,symeri,solspe,asctub,potrec,medlup,ascsyr,eupcor,lescap,rumace,vertha,daucar,eutgra,descan,Honeybees,Bumblebees,Solitarybees,Bomimp,Bomgri,Bomfer,Bomcit,Xylvir,Antter,Hercar,Cercal,Cermik,Hallig,Halcon,Halpar,Halrub,Hylaff,Hylmes,Augper,Augaur,Augpur,Agaser,Agavir,Melsub,Melbim,Megmen,Megpug,Meglat,Megrel,Lasvie,Andast,Lasano,Laspec,Laspun,Hylmod,Colsimarm,Andpla,Melniv,Coeruf,Lasleu,Lasell,Sphdav,Peroct,Colcom,Andhir,Bomaur,Colame,Cerstr,Laspil,Melspp,Agotex,Andpla,Melden,Megrot,Dufmon,Lasver,Meldes
1,2,diverse,7/10/2013,191,2013,60,80,32,19,0.32,93.6,544,55.2,15.3,4,26,14,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,diverse,7/30/2013,211,2013,30,75,32,549,2.6,10.4,200,55,19.8,0,282,0.8,238,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,23,3,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,diverse,8/19/2013,231,2013,40,75,32,147,0.32,22.4,16,0.48,0,0,0,1,840,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,15,6,22,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,diverse,9/11/2013,254,2013,40,80,32,0,0,0,2,0,0,0,0,0,0,0,399,47,676,0,0,0,0,0,0,0,0,0,0,0,37,5,2,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,diverse,7/10/2013,191,2013,80,75,32,14,0,0,196,41.9,0,0,162,0,14,28,0,0,0,0,0,0,0,0,0,0,0,3.628590176,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,diverse,7/30/2013,211,2013,40,75,32,418,2,0.8,28,9.12,0,0,80,0,532,0,0,0,0,35,0,0,0,0,0,0,0,15,0,0,5,12,7,9,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,diverse,8/19/2013,231,2013,40,80,32,111,0,0,3,34,0,0,0,0,259,0,0,0,0,2.5,0,0,0,0,0,0,0,10,0,0,0,10,13,13,0,0,2,0,0,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,diverse,9/11/2013,254,2013,40,85,32,6,0,0,0,0.16,0,0.2,0,0,0,0,378,62,169,0,0,0,0,0,0,0,0,0,0,0,23,8,15,8,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0
3,6,diverse,7/10/2013,191,2013,60,80,32,21,1.6,5.6,262,0,12.6,0,74,0,0,0,0,0,0,200,0,0,16,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,diverse,7/30/2013,211,2013,80,85,32,175,2,1.6,122,0,6.3,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,6,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,diverse,8/19/2013,231,2013,5,75,32,109,1.28,0,14,0,0,0,9,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,18,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,diverse,9/11/2013,254,2013,50,85,32,2,0,0,2,0,3.6,0,0,0,0,0,231,52,311,0,0,0,0,0,0,0,0,0,0,0,23,16,4,10,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,diverse,7/10/2013,191,2013,40,75,32,22,62,7.2,68,28,43,1,130,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,2,7,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,diverse,7/30/2013,211,2013,0,75,32,516,53,1.6,28,37,7.2,0.2,1145,0,7,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,1,53,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,8,diverse,8/19/2013,231,2013,2,75,32,128,1.3,0,0,2,0,0,15,0,7,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,5,14,5,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,diverse,9/11/2013,254,2013,15,85,32,0,1,0,0,0,0,0,0,0,0,0,406,37,1254,0,0,0,0,0,0,0,0,0,0,0,15,1,18,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,knapweed,7/10/2013,191,2013,80,75,32,29,33.28,8,22,5.6,8.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,knapweed,7/30/2013,211,2013,30,75,32,955,27.5,2.4,22,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,knapweed,8/19/2013,231,2013,40,75,32,114,1.28,8,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,knapweed,9/11/2013,254,2013,40,80,32,6,0.32,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,knapweed,7/10/2013,191,2013,80,75,32,2,6.7,15.2,0,0,1.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,knapweed,7/30/2013,211,2013,40,75,32,1306,38,3.2,0,0,0,0,24,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,2,6,5,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,knapweed,8/19/2013,231,2013,0,80,32,596,1.28,3.2,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,38,7,37,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,knapweed,9/11/2013,254,2013,40,85,32,0,14,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,knapweed,7/10/2013,191,2013,30,80,32,12,136,12,0,28,0,2.4,0,0,0,0,0,0,0,0,39,8.6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,knapweed,7/30/2013,211,2013,100,85,32,889,60,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,knapweed,8/19/2013,231,2013,20,80,32,403,0.32,4.8,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,22,9,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,knapweed,9/11/2013,254,2013,50,0,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,knapweed,7/10/2013,191,2013,60,75,32,27,102,0,36,0,37.8,1,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,knapweed,7/30/2013,211,2013,100,75,32,2041,125,0,14,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,1,18,17,19,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,knapweed,8/19/2013,231,2013,10,75,32,691,10,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,3,52,4,57,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,knapweed,9/11/2013,254,2013,50,85,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
